bitrate,trial,sender_rc,receiver_rc,Xfer_time,Xfer_success,in_file_size,out_file_size,dtgrms_sent,dtgrms_received,dtgrms_corrupt,tx_errors,tx_dropped,rx_errors,rx_dropped,snmp_OutDatagrams,snmp_SndbufErrors,snmp_InDatagrams,snmp_InErrors,snmp_RcvbufErrors
750000000,0,0,0,2.360501289367676,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,1,0,0,2.363081455230713,False,125000000,124967232,7630,7630,na,0,0,0,0,7630,0,7628,2,2
750000000,2,0,0,2.3652234077453613,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,3,0,0,2.363062858581543,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,4,0,0,2.364879608154297,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,5,0,0,2.36505126953125,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,6,0,0,2.3655147552490234,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,7,0,0,2.366367816925049,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,8,0,0,2.3649754524230957,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,9,0,0,2.363861560821533,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,10,0,0,2.3631343841552734,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,11,0,0,2.3651041984558105,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,12,0,0,2.364297866821289,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,13,0,0,2.3641257286071777,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,14,0,0,2.3652522563934326,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,15,0,0,2.363861083984375,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,16,0,0,2.3629837036132812,False,125000000,118462784,7630,7630,na,0,0,0,0,7630,0,7231,399,399
750000000,17,0,0,2.363308906555176,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,18,0,0,2.3627660274505615,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,19,0,0,2.363706588745117,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,20,0,0,2.36568546295166,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,21,0,0,2.3641395568847656,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,22,0,0,2.364302635192871,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,23,0,0,2.362501382827759,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,24,0,0,2.3642966747283936,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,25,0,0,2.3669838905334473,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,26,0,0,2.36244797706604,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,27,0,0,2.3633415699005127,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
750000000,28,0,0,2.366255044937134,True,125000000,125000000,7630,7630,na,0,0,0,0,7630,0,7630,0,0
